"code_ogr","libelle_appellation_long","libelle_appellation_court","code_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","classification","origine","code_rome_parent","peu_usite"
"12554","Chef / Cheffe du service ordonnancement-lancement en industrie","Chef(fe) du service ordonnancement-lancement ind","H1401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1401","N"
"12555","Chef / Cheffe du service ordonnancement-lancement-planification en industrie","Che(fe) du service ordonnance-lancement-planification","H1401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1401","N"
"12556","Chef / Cheffe du service planification en industrie","Chef / Cheffe du service planification en industrie","H1401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1401","N"
"12557","Chef / Cheffe du service préparation du travail en industrie","Chef / Cheffe du service préparation du travail en industrie","H1401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1401","N"
"12558","Chef / Cheffe du service sécurité en industrie","Chef / Cheffe du service sécurité en industrie","H1304","Emploi Vert","","","","O","SYNONYME","","H1302","N"
"12559","Chef / Cheffe d'unité de fabrication","Chef / Cheffe d'unité de fabrication","H2507","Emploi Blanc","","","","O","SYNONYME","","H2502","N"
"12560","Chef / Cheffe d'unité de gestion immobilière","Chef / Cheffe d'unité de gestion immobilière","C1501","Emploi Blanc","","","","","SYNONYME","","C1501","N"
"12561","Chef / Cheffe d'unité de production","Chef / Cheffe d'unité de production","H2507","Emploi Blanc","","","","O","SYNONYME","","H2502","N"
"12562","Chef / Cheffe éclairagiste","Chef / Cheffe éclairagiste","L1504","Emploi Blanc","","","","","SYNONYME","","L1504","N"
"12563","Chef égoutier / Cheffe égoutière","Chef égoutier / Cheffe égoutière","K2321","Emploi Vert","","","","","SYNONYME","","K2301","N"
"12564","Chef électricien / Cheffe électricienne spectacle","Chef électricien / Cheffe électricienne spectacle","L1504","Emploi Blanc","","","","","SYNONYME","","L1504","N"
"12565","Chef entremettier / Cheffe entremettière de restaurant","Chef entremettier / Cheffe entremettière de restaurant","G1609","Emploi Blanc","","","","","SYNONYME","","G1602","N"
"12566","Chef / Cheffe exploitation images drones","Chef / Cheffe exploitation images drones","M1808","Emploi Blanc","","","","","SYNONYME","","M1808","N"
"12567","Chef / Cheffe géographe","Chef / Cheffe géographe","M1808","Emploi Blanc","","","","","SYNONYME","","M1808","N"
"12568","Chef gérant / Cheffe gérante de restaurant de collectivité","Chef gérant / Cheffe gérante de restaurant de collectivité","G1404","Emploi Blanc","","","","O","SYNONYME","","G1404","N"
"12569","Chef gouvernant / Cheffe gouvernante en hôtellerie","Chef gouvernant / Cheffe gouvernante en hôtellerie","G1503","Emploi Blanc","","","","","SYNONYME","","G1503","N"
"12570","Chef habilleur / Cheffe habilleuse","Chef habilleur / Cheffe habilleuse","L1518","Emploi Blanc","","","","","PRINCIPALE","","L1502","N"
"12571","Chef lamineur / Cheffe lamineuse en métallurgie","Chef lamineur / Cheffe lamineuse en métallurgie","H2904","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H2904","N"
"12572","Chef / Cheffe machiniste spectacle","Chef / Cheffe machiniste spectacle","L1525","Emploi Blanc","","","","","PRINCIPALE","","L1506","N"
"12573","Chef magasinier / Cheffe magasinière","Chef magasinier / Cheffe magasinière","N1303","Emploi Blanc","","","","","SYNONYME","","N1303","N"
"12574","Chef maquilleur posticheur / Cheffe maquilleuse posticheuse spectacle","Chef(fe) maquilleur(se) posticheur(se) spectacle","L1501","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12575","Chef maquilleur / Cheffe maquilleuse spectacle","Chef maquilleur / Cheffe maquilleuse spectacle","L1501","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12576","Chef mécanicien / Cheffe mécanicienne automobile","Chef mécanicien / Cheffe mécanicienne automobile","I1103","Emploi Blanc","","","","","SYNONYME","","I1604","N"
"12577","Chef mécanicien / Cheffe mécanicienne d'atelier de fabrication","Chef(fe) mécanicien(ne) d'atelier de fabrication","H2503","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H2503","N"
"12578","Chef mécanicien / Cheffe mécanicienne de maintenance industrielle","Chef(fe) mécanicien(ne) de maintenance industrielle","I1310","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","I1310","N"
"12579","Chef mécanicien / Cheffe mécanicienne marine","Chef mécanicien / Cheffe mécanicienne marine","I1605","Emploi Blanc","","","","","SYNONYME","","N3101","N"
"12580","Chef monteur / Cheffe monteuse audiovisuel","Chef monteur / Cheffe monteuse audiovisuel","L1507","Emploi Blanc","","","","","SYNONYME","","L1507","N"
"12581","Chef monteur / Cheffe monteuse son","Chef monteur / Cheffe monteuse son","L1507","Emploi Blanc","","","","","SYNONYME","","L1507","N"
"12582","Chef opérateur / Cheffe opératrice de mouvement sécurité du réseau ferroviaire","Chef(fe) opérateur(trice) sécurité réseau ferroviaire","N4401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","N4401","N"
"12583","Chef opérateur / Cheffe opératrice de prise de vues","Chef opérateur / Cheffe opératrice de prise de vues","L1514","Emploi Blanc","O","","","O","SYNONYME","","L1505","N"
"12584","Chef opérateur / Cheffe opératrice de projection","Chef opérateur / Cheffe opératrice de projection","E1204","Emploi Blanc","","","","","SYNONYME","","E1204","N"
"12585","Chef opérateur / Cheffe opératrice des manœuvres du réseau ferré","Chef(fe) opérateur(trice) des manœuvres du réseau ferré","N4403","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","N4403","N"
"12586","Chef opérateur / Cheffe opératrice du son","Chef opérateur / Cheffe opératrice du son","L1508","Emploi Blanc","","","","","SYNONYME","","L1508","N"
"12587","Chef opérateur / Cheffe opératrice en raffinerie","Chef opérateur / Cheffe opératrice en raffinerie","H2701","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H2701","N"
"12588","Chef opérateur / Cheffe opératrice image","Chef opérateur / Cheffe opératrice image","L1514","Emploi Blanc","O","","","O","PRINCIPALE","","L1505","N"
"12589","Chef opérateur / Cheffe opératrice lumière","Chef opérateur / Cheffe opératrice lumière","L1514","Emploi Blanc","O","","","O","SYNONYME","","L1505","N"
